id;date;mood;createdat;updatedat
1;2023-03-09;45728;2023-03-09T14:34:35;2023-03-09T09:45:00
2;2023-03-09;29415;2023-03-09T09:21:59;2023-03-09T14:14:14
3;2023-03-09;11491;2023-03-09T11:06:41;2023-03-08T22:11:06
4;2023-03-09;8825;2023-03-09T00:50:14;2023-03-09T14:56:06
5;2023-03-09;30395;2023-03-09T01:16:45;2023-03-09T00:08:53
6;2023-03-09;53344;2023-03-09T16:48:27;2023-03-09T13:25:24
7;2023-03-09;73311;2023-03-09T00:55:27;2023-03-09T06:23:02
8;2023-03-08;66934;2023-03-09T09:34:55;2023-03-09T12:27:23
9;2023-03-09;98100;2023-03-09T15:33:30;2023-03-08T23:37:16
10;2023-03-09;61839;2023-03-09T01:22:15;2023-03-09T16:54:13
